ROCK;IJK;XC;YC;ZC;XINC;YINC;ZINC;XMORIG;YMORIG;ZMORIG;NX;NY;NZ;DENSITY;AU;CU
8;202064;7941.25;6653.75;263.2126683;12.5;12.5;2.78444341;7410;6010;77.10489;95;95;50;1.75;1.18;0.13
8;202065;7941.25;6653.75;270.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.42;0.03
8;202066;7941.25;6653.75;282.9335116;12.5;12.5;0.65925273;7410;6010;77.10489;95;95;50;1.75;0.3465;0.047
6;202066;7941.25;6653.75;286.434014;12.5;12.5;6.341752;7410;6010;77.10489;95;95;50;2.01;0.3465;0.047
8;202066;7941.25;6653.75;279.8543876;12.5;12.5;5.49899527;7410;6010;77.10489;95;95;50;1.75;0.3465;0.047
6;202067;7941.25;6653.75;291.5945098;12.5;12.5;3.97923957;7410;6010;77.10489;95;95;50;2.01;0;0.02
8;202114;7941.25;6666.25;262.3015942;12.5;12.5;4.6065917;7410;6010;77.10489;95;95;50;1.75;1.36;0.14
8;202115;7941.25;6666.25;270.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.42;0.06
8;202116;7941.25;6666.25;279.8507952;12.5;12.5;1.40077572;7410;6010;77.10489;95;95;50;1.75;0.3465;0.047
6;202116;7941.25;6666.25;284.9239391;12.5;12.5;8.74551198;7410;6010;77.10489;95;95;50;2.01;0.3465;0.047
8;202116;7941.25;6666.25;278.1276487;12.5;12.5;2.04551736;7410;6010;77.10489;95;95;50;1.75;0.3465;0.047
8;202164;7941.25;6678.75;261.7878981;12.5;12.5;5.63398383;7410;6010;77.10489;95;95;50;1.75;0;0
8;202165;7941.25;6678.75;270.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.94;0.1
6;202166;7941.25;6678.75;283.4736245;12.5;12.5;8.27650999;7410;6010;77.10489;95;95;50;2.01;0.61;0.07
8;202166;7941.25;6678.75;278.2179533;12.5;12.5;2.22612656;7410;6010;77.10489;95;95;50;1.75;0.61;0.07
8;202214;7941.25;6691.25;262.8671273;12.5;12.5;3.47552537;7410;6010;77.10489;95;95;50;1.75;0;0
8;202215;7941.25;6691.25;270.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.94;0.11
